run_ts,signal_date,pair,prob_up,prob_down,signal,threshold,n_train,n_features,best_iter,val_auc,entry_price,exit_price,result,exit_date
2026-05-05T08:06:25Z,2026-05-04,EURJPY,0.4871,0.5129,FLAT,0.6,2607,260,1,0.5068,,,,
2026-05-05T08:06:23Z,2026-05-04,EURUSD,0.5359,0.4641,FLAT,0.6,2607,260,110,0.6445,,,,
2026-05-05T08:06:25Z,2026-05-04,GBPUSD,0.4138,0.5862,FLAT,0.6,2607,260,108,0.627,,,,
2026-05-05T08:06:27Z,2026-05-04,USDJPY,0.5558,0.4442,FLAT,0.6,2607,260,26,0.5456,,,,
2026-05-06T05:48:57Z,2026-05-05,EURJPY,0.4977,0.5023,FLAT,0.6,2607,260,0,0.4828,,,,
2026-05-06T05:48:54Z,2026-05-05,EURUSD,0.6071,0.3929,LONG,0.6,2607,260,101,0.6636,1.17357,1.17261,LOSS,2026-05-13
2026-05-06T05:48:56Z,2026-05-05,GBPUSD,0.4561,0.5439,FLAT,0.6,2607,260,124,0.6223,,,,
2026-05-06T05:48:58Z,2026-05-05,USDJPY,0.4769,0.5231,FLAT,0.6,2607,260,12,0.6067,,,,
2026-05-07T06:46:45Z,2026-05-06,EURJPY,0.4981,0.5019,FLAT,0.6,2607,260,0,0.4918,,,,
2026-05-07T06:46:43Z,2026-05-06,EURUSD,0.7046,0.2954,LONG,0.6,2607,260,99,0.64,1.17578,,,
2026-05-07T06:46:44Z,2026-05-06,GBPUSD,0.5449,0.4551,FLAT,0.6,2607,260,46,0.607,,,,
2026-05-07T06:46:46Z,2026-05-06,USDJPY,0.3792,0.6208,SHORT,0.6,2607,260,68,0.5718,156.224,,,
2026-05-08T06:33:42Z,2026-05-07,EURJPY,0.5068,0.4932,FLAT,0.6,2608,260,0,0.4951,,,,
2026-05-08T06:33:39Z,2026-05-07,EURUSD,0.6185,0.3815,LONG,0.6,2608,260,77,0.6466,1.17481,1.17096,LOSS,2026-05-13
2026-05-08T06:33:41Z,2026-05-07,GBPUSD,0.461,0.539,FLAT,0.6,2608,260,46,0.5967,,,,
2026-05-08T06:33:44Z,2026-05-07,USDJPY,0.4548,0.5452,FLAT,0.6,2608,260,111,0.5983,,,,
2026-05-11T08:33:06Z,2026-05-08,EURJPY,0.4981,0.5019,FLAT,0.6,2607,260,0,0.5371,,,,
2026-05-11T08:33:03Z,2026-05-08,EURUSD,0.736,0.264,LONG,0.6,2607,260,87,0.6436,1.17841,1.17096,LOSS,2026-05-14
2026-05-11T08:33:05Z,2026-05-08,GBPUSD,0.6535,0.3465,LONG,0.6,2607,260,124,0.6376,1.36147,1.35113,LOSS,2026-05-14
2026-05-11T08:33:07Z,2026-05-08,USDJPY,0.4351,0.5649,FLAT,0.6,2607,260,58,0.5759,,,,
2026-05-12T07:41:31Z,2026-05-11,EURJPY,0.4934,0.5066,FLAT,0.6,2607,260,0,0.5397,,,,
2026-05-12T07:41:28Z,2026-05-11,EURUSD,0.54,0.46,FLAT,0.6,2607,260,110,0.6644,,,,
2026-05-12T07:41:30Z,2026-05-11,GBPUSD,0.4508,0.5492,FLAT,0.6,2607,260,110,0.6231,,,,
2026-05-12T07:41:33Z,2026-05-11,USDJPY,0.4964,0.5036,FLAT,0.6,2607,260,40,0.5659,,,,
2026-05-13T06:48:14Z,2026-05-12,EURJPY,0.4998,0.5002,FLAT,0.6,2607,260,0,0.5782,,,,
2026-05-13T06:48:11Z,2026-05-12,EURUSD,0.4056,0.5944,FLAT,0.6,2607,260,124,0.6558,,,,
2026-05-13T06:48:13Z,2026-05-12,GBPUSD,0.4761,0.5239,FLAT,0.6,2607,260,99,0.6088,,,,
2026-05-13T06:48:15Z,2026-05-12,USDJPY,0.5775,0.4225,FLAT,0.6,2607,260,64,0.6018,,,,
2026-05-14T11:31:08Z,2026-05-13,EURUSD,0.4729,0.5271,FLAT,0.6,2607,226,131,0.7093,,,,
2026-05-14T11:31:09Z,2026-05-13,GBPUSD,0.5302,0.4698,FLAT,0.6,2607,226,104,0.6876,,,,
2026-05-15T05:41:59Z,2026-05-14,EURUSD,0.416,0.584,FLAT,0.6,2608,226,129,0.7076,,,,
2026-05-15T05:42:02Z,2026-05-14,GBPUSD,0.2704,0.7296,SHORT,0.6,2608,226,162,0.6796,1.33577,,,
